Symbol;Name;;;;;;;;;;
BTC-USD;Bitcoin USD;;;;;;;;;;
ETH-USD;Ethereum USD;;;;;;;;;;
USDT-USD;Tether USD;;;;;;;;;;
USDC-USD;USD Coin USD;;;;;;;;;;
BNB-USD;Binance Coin USD;;;;;;;;;;
XRP-USD;XRP USD;;;;;;;;;;
HEX-USD;HEX USD;;;;;;;;;;
ADA-USD;Cardano USD;;;;;;;;;;
SOL-USD;Solana USD;;;;;;;;;;
BUSD-USD;Binance USD USD;;;;;;;;;;
DOGE-USD;Dogecoin USD;;;;;;;;;;
DOT-USD;Polkadot USD;;;;;;;;;;
AVAX-USD;Avalanche USD;;;;;;;;;;
WBTC-USD;Wrapped Bitcoin USD;;;;;;;;;;
WTRX-USD;Wrapped TRON USD;;;;;;;;;;
STETH-USD;Lido stETH USD;;;;;;;;;;
TRX-USD;TRON USD;;;;;;;;;;
SHIB-USD;SHIBA INU USD;;;;;;;;;;
DAI-USD;Dai USD;;;;;;;;;;
MATIC-USD;Polygon USD;;;;;;;;;;
LTC-USD;Litecoin USD;;;;;;;;;;
CRO-USD;Crypto.com Coin USD;;;;;;;;;;
LEO-USD;UNUS SED LEO USD;;;;;;;;;;
NEAR-USD;NEAR Protocol USD;;;;;;;;;;
FTT-USD;FTX Token USD;;;;;;;;;;
YOUC-USD;yOUcash USD;;;;;;;;;;
BCH-USD;Bitcoin Cash USD;;;;;;;;;;
UNI1-USD;Uniswap USD;;;;;;;;;;
LINK-USD;Chainlink USD;;;;;;;;;;
XLM-USD;Stellar USD;;;;;;;;;;
ALGO-USD;Algorand USD;;;;;;;;;;
ATOM-USD;Cosmos USD;;;;;;;;;;
BTCB-USD;Bitcoin BEP2 USD;;;;;;;;;;
XMR-USD;Monero USD;;;;;;;;;;
FLOW-USD;Flow USD;;;;;;;;;;
ETC-USD;Ethereum Classic USD;;;;;;;;;;
APE3-USD;ApeCoin USD;;;;;;;;;;
MANA-USD;Decentraland USD;;;;;;;;;;
EGLD-USD;Elrond USD;;;;;;;;;;
HBAR-USD;Hedera USD;;;;;;;;;;
VET-USD;VeChain USD;;;;;;;;;;
ICP-USD;Internet Computer USD;;;;;;;;;;
TONCOIN-USD;Toncoin USD;;;;;;;;;;
FIL-USD;Filecoin USD;;;;;;;;;;
SAND-USD;The Sandbox USD;;;;;;;;;;
XTZ-USD;Tezos USD;;;;;;;;;;
XCN1-USD;Chain USD;;;;;;;;;;
WBNB-USD;Wrapped BNB USD;;;;;;;;;;
DFI-USD;DeFiChain USD;;;;;;;;;;
MKR-USD;Maker USD;;;;;;;;;;
